#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_001395295.1	PRJEB2221	SAMEA1019217	CNFO00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 188		latest	Scaffold	Major	Full	2015/07/14	6540_3#20	SC	GCF_001395295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/295/GCA_001395295.1_6540_3_20		
GCA_001395315.1	PRJEB2221	SAMEA1019219	CNKG00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 353		latest	Scaffold	Major	Full	2015/07/14	6570_6#21	SC	GCF_001395315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/315/GCA_001395315.1_6570_6_21		
GCA_001395335.1	PRJEB2221	SAMEA1019222	CNEK00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 19		latest	Scaffold	Major	Full	2015/07/15	6540_1#2	SC	GCF_001395335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/335/GCA_001395335.1_6540_1_2		
GCA_001395355.1	PRJEB2221	SAMEA1019228	CNKS00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 368		latest	Scaffold	Major	Full	2015/07/14	6570_7#12	SC	GCF_001395355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/355/GCA_001395355.1_6570_7_12		
GCA_001395375.1	PRJEB2221	SAMEA1019229	CNJB00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 309		latest	Scaffold	Major	Full	2015/07/14	6540_8#24	SC	GCF_001395375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/375/GCA_001395375.1_6540_8_24		
GCA_001395395.1	PRJEB2221	SAMEA1019233	CNEP00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 32		latest	Scaffold	Major	Full	2015/07/15	6540_1#4	SC	GCF_001395395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/395/GCA_001395395.1_6540_1_4		
GCA_001395415.1	PRJEB2221	SAMEA1019237	CNKD00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 350		latest	Scaffold	Major	Full	2015/07/14	6570_6#18	SC	GCF_001395415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/415/GCA_001395415.1_6570_6_18		
GCA_001395435.1	PRJEB2221	SAMEA1019241	CNFU00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 187		latest	Scaffold	Major	Full	2015/07/15	6540_3#19	SC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/435/GCA_001395435.1_6540_3_19	high contig L50 ; low contig N50 ; low quality sequence ; validation errors	
GCA_001395455.1	PRJEB2221	SAMEA1019245	CNMY00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 451		latest	Scaffold	Major	Full	2015/07/15	7054_2#52	SC	GCF_001395455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/455/GCA_001395455.1_7054_2_52		
GCA_001395475.1	PRJEB2221	SAMEA1019246	CNHI00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 253		latest	Scaffold	Major	Full	2015/07/14	6540_6#18	SC	GCF_001395475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/475/GCA_001395475.1_6540_6_18		
GCA_001395495.1	PRJEB2221	SAMEA1019248	CNER00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 153		latest	Scaffold	Major	Full	2015/07/14	6540_2#11	SC	GCF_001395495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/495/GCA_001395495.1_6540_2_11		
GCA_001395515.1	PRJEB2221	SAMEA1019249	CNJA00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 308		latest	Scaffold	Major	Full	2015/07/14	6540_8#23	SC	GCF_001395515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/515/GCA_001395515.1_6540_8_23		
GCA_001395535.1	PRJEB2221	SAMEA1019250	CNJD00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 293		latest	Scaffold	Major	Full	2015/07/14	6540_8#8	SC	GCF_001395535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/535/GCA_001395535.1_6540_8_8		
GCA_001395555.1	PRJEB2221	SAMEA1019251	CNEG00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 132		latest	Scaffold	Major	Full	2015/07/14	6540_1#15	SC	GCF_001395555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/555/GCA_001395555.1_6540_1_15		
GCA_001395575.1	PRJEB2221	SAMEA1019253	CNKC00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 348		latest	Scaffold	Major	Full	2015/07/14	6570_6#16	SC	GCF_001395575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/575/GCA_001395575.1_6570_6_16		
GCA_001395595.1	PRJEB2221	SAMEA1019256	CNEQ00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 122		latest	Scaffold	Major	Full	2015/07/14	6540_1#5	SC	GCF_001395595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/595/GCA_001395595.1_6540_1_5		
GCA_001395615.1	PRJEB2221	SAMEA1019258	CNJR00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 312		latest	Scaffold	Major	Full	2015/07/14	6570_5#4	SC	GCF_001395615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/615/GCA_001395615.1_6570_5_4		
GCA_001395635.1	PRJEB2221	SAMEA1019259	CIIG00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 186		latest	Scaffold	Major	Full	2015/07/27	6540_3#18	SC	GCF_001395635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/635/GCA_001395635.1_6540_3_18		
GCA_001395655.1	PRJEB2221	SAMEA1019265	CNJE00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 294		latest	Scaffold	Major	Full	2015/07/14	6540_8#9	SC	GCF_001395655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/655/GCA_001395655.1_6540_8_9		
GCA_001395675.1	PRJEB2221	SAMEA1019266	CNHH00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 252		latest	Scaffold	Major	Full	2015/07/14	6540_6#17	SC	GCF_001395675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/675/GCA_001395675.1_6540_6_17		
GCA_001395695.1	PRJEB2221	SAMEA1019270	CNKE00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 349		latest	Scaffold	Major	Full	2015/07/14	6570_6#17	SC	GCF_001395695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/695/GCA_001395695.1_6570_6_17		
GCA_001395715.1	PRJEB2221	SAMEA1019271	CNKT00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 370		latest	Scaffold	Major	Full	2015/07/15	6570_7#14	SC	GCF_001395715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/715/GCA_001395715.1_6570_7_14		
GCA_001395735.1	PRJEB2221	SAMEA1019276	CNIY00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 307		latest	Scaffold	Major	Full	2015/07/15	6540_8#22	SC	GCF_001395735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/735/GCA_001395735.1_6540_8_22		
GCA_001395755.1	PRJEB2221	SAMEA1019281	CNKU00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 371		latest	Scaffold	Major	Full	2015/07/15	6570_7#15	SC	GCF_001395755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/755/GCA_001395755.1_6570_7_15		
GCA_001395775.1	PRJEB2221	SAMEA1019282	CNLX00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 409		latest	Scaffold	Major	Full	2015/07/15	7054_1#10	SC	GCF_001395775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/775/GCA_001395775.1_7054_1_10		
GCA_001395795.1	PRJEB2221	SAMEA1019285	CNEV00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 125		latest	Scaffold	Major	Full	2015/07/14	6540_1#8	SC	GCF_001395795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/795/GCA_001395795.1_6540_1_8		
GCA_001395815.1	PRJEB2221	SAMEA1019286	CNKR00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 357		latest	Scaffold	Major	Full	2015/07/15	6570_7#1	SC	GCF_001395815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/815/GCA_001395815.1_6570_7_1		
GCA_001395835.1	PRJEB2221	SAMEA1019288	CNML00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 427		latest	Scaffold	Major	Full	2015/07/15	7054_1#28	SC	GCF_001395835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/835/GCA_001395835.1_7054_1_28		
GCA_001395855.1	PRJEB2221	SAMEA1019291	CNMK00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 426		latest	Scaffold	Major	Full	2015/07/15	7054_1#27	SC	GCF_001395855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/855/GCA_001395855.1_7054_1_27		
GCA_001395875.1	PRJEB2221	SAMEA1019293	CNIW00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 306		latest	Scaffold	Major	Full	2015/07/14	6540_8#21	SC	GCF_001395875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/875/GCA_001395875.1_6540_8_21		
GCA_001395895.1	PRJEB2221	SAMEA1019295	CNKV00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 372		latest	Scaffold	Major	Full	2015/07/14	6570_7#16	SC	GCF_001395895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/895/GCA_001395895.1_6570_7_16		
GCA_001395915.1	PRJEB2221	SAMEA1019297	CNNA00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 467		latest	Scaffold	Major	Full	2015/07/15	7054_2#68	SC	GCF_001395915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/915/GCA_001395915.1_7054_2_68		
GCA_001395935.1	PRJEB2221	SAMEA1019299	CNJY00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 345		latest	Scaffold	Major	Full	2015/07/14	6570_6#13	SC	GCF_001395935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/935/GCA_001395935.1_6570_6_13		
GCA_001395955.1	PRJEB2221	SAMEA1019301	CNMM00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 428		latest	Scaffold	Major	Full	2015/07/14	7054_1#29	SC	GCF_001395955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/955/GCA_001395955.1_7054_1_29		
GCA_001395975.1	PRJEB2221	SAMEA1019303	CNIX00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 290		latest	Scaffold	Major	Full	2015/07/14	6540_8#5	SC	GCF_001395975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/975/GCA_001395975.1_6540_8_5		
GCA_001395995.1	PRJEB2221	SAMEA1019305	CNET00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 126		latest	Scaffold	Major	Full	2015/07/14	6540_1#9	SC	GCF_001395995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/395/995/GCA_001395995.1_6540_1_9		
GCA_001396015.1	PRJEB2221	SAMEA1019306	CNGJ00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 216		latest	Scaffold	Major	Full	2015/07/15	6540_4#24	SC	GCF_001396015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/015/GCA_001396015.1_6540_4_24		
GCA_001396035.1	PRJEB2221	SAMEA1019308	CNKI00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 354		latest	Scaffold	Major	Full	2015/07/14	6570_6#22	SC	GCF_001396035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/035/GCA_001396035.1_6570_6_22		
GCA_001396055.1	PRJEB2221	SAMEA1019309	CNEO00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 142		latest	Scaffold	Major	Full	2015/07/14	6540_1#24	SC	GCF_001396055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/055/GCA_001396055.1_6540_1_24		
GCA_001396075.1	PRJEB2221	SAMEA1019315	CNIU00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 303		latest	Scaffold	Major	Full	2015/07/15	6540_8#18	SC	GCF_001396075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/075/GCA_001396075.1_6540_8_18		
GCA_001396095.1	PRJEB2221	SAMEA1019317	CNMR00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 437		latest	Scaffold	Major	Full	2015/07/14	7054_1#38	SC	GCF_001396095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/095/GCA_001396095.1_7054_1_38		
GCA_001396115.1	PRJEB2221	SAMEA1019318	CNHG00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 248		latest	Scaffold	Major	Full	2015/07/14	6540_6#13	SC	GCF_001396115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/115/GCA_001396115.1_6540_6_13		
GCA_001396135.1	PRJEB2221	SAMEA1019321	CNED00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 127		latest	Scaffold	Major	Full	2015/07/14	6540_1#10	SC	GCF_001396135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/135/GCA_001396135.1_6540_1_10		
GCA_001396155.1	PRJEB2221	SAMEA1019322	CNEU00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 143		latest	Scaffold	Major	Full	2015/07/14	6540_2#1	SC	GCF_001396155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/155/GCA_001396155.1_6540_2_1		
GCA_001396175.1	PRJEB2221	SAMEA1019323	CNND00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 476		latest	Scaffold	Major	Full	2015/07/14	7054_2#77	SC	GCF_001396175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/175/GCA_001396175.1_7054_2_77		
GCA_001396195.1	PRJEB2221	SAMEA1019324	CNEE00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 128		latest	Scaffold	Major	Full	2015/07/14	6540_1#11	SC	GCF_001396195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/195/GCA_001396195.1_6540_1_11		
GCA_001396215.1	PRJEB2221	SAMEA1019330	CNKJ00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 355		latest	Scaffold	Major	Full	2015/07/14	6570_6#23	SC	GCF_001396215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/215/GCA_001396215.1_6570_6_23		
GCA_001396235.1	PRJEB2221	SAMEA961570	CNBT00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 70		latest	Scaffold	Major	Full	2015/07/14	6174_2#9	SC	GCF_001396235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/235/GCA_001396235.1_6174_2_9		
GCA_001396255.1	PRJEB2221	SAMEA961571	CNBO00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 67		latest	Scaffold	Major	Full	2015/07/14	6174_2#6	SC	GCF_001396255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/255/GCA_001396255.1_6174_2_6		
GCA_001396275.1	PRJEB2221	SAMEA961572	CNBN00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 68		latest	Scaffold	Major	Full	2015/07/14	6174_2#7	SC	GCF_001396275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/275/GCA_001396275.1_6174_2_7		
GCA_001396295.1	PRJEB2221	SAMEA961574	CNBS00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 66		latest	Scaffold	Major	Full	2015/07/14	6174_2#5	SC	GCF_001396295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/295/GCA_001396295.1_6174_2_5		
GCA_001396315.1	PRJEB2221	SAMEA961575	CNBM00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 63		latest	Scaffold	Major	Full	2015/07/14	6174_2#2	SC	GCF_001396315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/315/GCA_001396315.1_6174_2_2		
GCA_001396335.1	PRJEB2221	SAMEA961578	CNBR00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 72		latest	Scaffold	Major	Full	2015/07/14	6174_2#11	SC	GCF_001396335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/335/GCA_001396335.1_6174_2_11		
GCA_001396355.1	PRJEB2221	SAMEA961579	CNAT00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=BIR-13		latest	Scaffold	Major	Full	2015/07/14	5237_3#5	SC	GCF_001396355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/355/GCA_001396355.1_5237_3_5		
GCA_001396375.1	PRJEB2221	SAMEA961581	CNAP00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=BIR-07		latest	Scaffold	Major	Full	2015/07/14	5237_2#7	SC	GCF_001396375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/375/GCA_001396375.1_5237_2_7		
GCA_001396395.1	PRJEB2221	SAMEA961582	CNAS00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=BIR-06		latest	Scaffold	Major	Full	2015/07/14	5237_2#6	SC	GCF_001396395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/395/GCA_001396395.1_5237_2_6		
GCA_001396415.1	PRJEB2221	SAMEA961583	CNAM00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=BIR-05		latest	Scaffold	Major	Full	2015/07/14	5237_2#5	SC	GCF_001396415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/415/GCA_001396415.1_5237_2_5		
GCA_001396435.1	PRJEB2221	SAMEA961584	CNAR00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=BIR-04		latest	Scaffold	Major	Full	2015/07/14	5237_2#4	SC	GCF_001396435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/435/GCA_001396435.1_5237_2_4		
GCA_001396455.1	PRJEB2221	SAMEA961585	CNAW00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=BIR-11		latest	Scaffold	Major	Full	2015/07/14	5237_3#3	SC	GCF_001396455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/455/GCA_001396455.1_5237_3_3		
GCA_001396475.1	PRJEB2221	SAMEA961586	CNAU00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=BIR-10		latest	Scaffold	Major	Full	2015/07/14	5237_3#2	SC	GCF_001396475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/475/GCA_001396475.1_5237_3_2		
GCA_001396495.1	PRJEB2221	SAMEA961587	CNAX00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=BIR-09		latest	Scaffold	Major	Full	2015/07/14	5237_3#1	SC	GCF_001396495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/495/GCA_001396495.1_5237_3_1		
GCA_001396515.1	PRJEB2221	SAMEA961588	CNAL00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=BIR-08		latest	Scaffold	Major	Full	2015/07/14	5237_2#8	SC	GCF_001396515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/515/GCA_001396515.1_5237_2_8		
GCA_001396535.1	PRJEB2221	SAMEA961589	CNCA00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 82		latest	Scaffold	Major	Full	2015/07/14	6174_6#9	SC	GCF_001396535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/535/GCA_001396535.1_6174_6_9		
GCA_001396555.1	PRJEB2221	SAMEA961591	CNBY00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 76		latest	Scaffold	Major	Full	2015/07/14	6174_6#3	SC	GCF_001396555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/555/GCA_001396555.1_6174_6_3		
GCA_001396575.1	PRJEB2221	SAMEA961592	CNBV00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 75		latest	Scaffold	Major	Full	2015/07/14	6174_6#2	SC	GCF_001396575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/575/GCA_001396575.1_6174_6_2		
GCA_001396595.1	PRJEB2221	SAMEA961593	CNBP00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 74		latest	Scaffold	Major	Full	2015/07/14	6174_6#1	SC	GCF_001396595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/595/GCA_001396595.1_6174_6_1		
GCA_001396615.1	PRJEB2221	SAMEA961594	CNBQ00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 73		latest	Scaffold	Major	Full	2015/07/14	6174_2#12	SC	GCF_001396615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/615/GCA_001396615.1_6174_2_12		
GCA_001396635.1	PRJEB2221	SAMEA961596	CNCC00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 79		latest	Scaffold	Major	Full	2015/07/14	6174_6#6	SC	GCF_001396635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/635/GCA_001396635.1_6174_6_6		
GCA_001396655.1	PRJEB2221	SAMEA961597	CNBX00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 78		latest	Scaffold	Major	Full	2015/07/14	6174_6#5	SC	GCF_001396655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/655/GCA_001396655.1_6174_6_5		
GCA_001396675.1	PRJEB2221	SAMEA961598	CNCB00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 77		latest	Scaffold	Major	Full	2015/07/14	6174_6#4	SC	GCF_001396675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/675/GCA_001396675.1_6174_6_4		
GCA_001396695.1	PRJEB2221	SAMEA961600	CNDY00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 114		latest	Scaffold	Major	Full	2015/07/14	6280_4#5	SC	GCF_001396695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/695/GCA_001396695.1_6280_4_5		
GCA_001396715.1	PRJEB2221	SAMEA961601	CNDZ00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 115		latest	Scaffold	Major	Full	2015/07/14	6280_4#6	SC	GCF_001396715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/715/GCA_001396715.1_6280_4_6		
GCA_001396735.1	PRJEB2221	SAMEA961602	CNEC00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 116		latest	Scaffold	Major	Full	2015/07/14	6280_4#7	SC	GCF_001396735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/735/GCA_001396735.1_6280_4_7		
GCA_001396755.1	PRJEB2221	SAMEA961605	CNDW00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 119		latest	Scaffold	Major	Full	2015/07/14	6280_4#10	SC	GCF_001396755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/755/GCA_001396755.1_6280_4_10		
GCA_001396775.1	PRJEB2221	SAMEA961606	CNDX00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 120		latest	Scaffold	Major	Full	2015/07/15	6280_4#11	SC	GCF_001396775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/775/GCA_001396775.1_6280_4_11		
GCA_001396795.1	PRJEB2221	SAMEA961607	CNDU00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 121		latest	Scaffold	Major	Full	2015/07/14	6280_4#12	SC	GCF_001396795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/795/GCA_001396795.1_6280_4_12		
GCA_001396815.1	PRJEB2221	SAMEA961609	CNAQ00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=BIR-03		latest	Scaffold	Major	Full	2015/07/14	5237_2#3	SC	GCF_001396815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/815/GCA_001396815.1_5237_2_3		
GCA_001396835.1	PRJEB2221	SAMEA961611	CNCI00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 91		latest	Scaffold	Major	Full	2015/07/14	6174_8#6	SC	GCF_001396835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/835/GCA_001396835.1_6174_8_6		
GCA_001396855.1	PRJEB2221	SAMEA961612	CNCL00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 92		latest	Scaffold	Major	Full	2015/07/14	6174_8#7	SC	GCF_001396855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/855/GCA_001396855.1_6174_8_7		
GCA_001396875.1	PRJEB2221	SAMEA961613	CNCG00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 87		latest	Scaffold	Major	Full	2015/07/14	6174_8#2	SC	GCF_001396875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/875/GCA_001396875.1_6174_8_2		
GCA_001396895.1	PRJEB2221	SAMEA961614	CNCE00000000.1	na	1773	1773	Mycobacterium tuberculosis	strain=Bir 88		latest	Scaffold	Major	Full	2015/07/14	6174_8#3	SC	GCF_001396895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/396/895/GCA_001396895.1_6174_8_3		
